Num,통화명,매매기준
1,미국 USD,"1,325.90"
2,유럽연합 EUR,"1,336.77"
3,일본 JPY (100엔),973.92
4,중국 CNY,194.73
5,홍콩 HKD,169.02
6,대만 TWD,44.19
7,영국 GBP,"1,580.47"
8,오만 OMR,"3,443.81"
9,캐나다 CAD,"1,023.39"
10,스위스 CHF,"1,384.61"
11,스웨덴 SEK,126.04
12,호주 AUD,915.67
13,뉴질랜드 NZD,826.83
14,체코 CZK,54.31
15,칠레 CLP,1.43
16,터키 TRY,73.34
17,몽골 MNT,0.42
18,이스라엘 ILS,408.18
19,덴마크 DKK,179.74
20,노르웨이 NOK,136.07
21,사우디아라비아 SAR,353.03
22,쿠웨이트 KWD,"4,319.60"
23,바레인 BHD,"3,516.79"
24,아랍에미리트 AED,360.98
25,요르단 JOD,"1,870.10"
26,이집트 EGP,69.24
27,태국 THB,37.17
28,싱가포르 SGD,956.12
29,말레이시아 MYR,295.96
30,인도네시아 IDR 100,8.96
31,카타르 QAR,360.82
32,카자흐스탄 KZT,2.78
33,브루나이 BND,956.12
34,인도 INR,16.62
35,파키스탄 PKR,6.17
36,방글라데시 BDT,13.96
37,필리핀 PHP,23.71
38,멕시코 MXN,65.80
39,브라질 BRL,256.53
40,베트남 VND 100,5.66
41,남아프리카 공화국 ZAR,78.51
42,러시아 RUB,22.10
43,헝가리 HUF,3.29
44,폴란드 PLN,282.55
